Device:,Stock Parts BOM,,,,,,,,,,,,
Version:,V1.0.0,,,,,,,,,,,,
Last Updated:,2024-09-03,,,,,,,,,,,,
,,,,,,,,Total filament (g),,Unit Cost,Total Estimated Cost,Build Cost,
,,,,,,,,,, $-   , $-   ,,
ID,Commercial Parts,,,,,,,,, $-   , $-   ,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link
,,Mono Speaker (4Ω 3W ),,Adafruit Industries LLC.,Digikey,,1,, $6.06 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3351/6612456
,,Audio Potentiometer,,CUI Devices,Digikey,,1,, $2.77 , $-   ,,,https://www.digikey.ca/en/products/detail/cui-devices/PTN16-A10125K1A2/20380750
,,Micro SD Reader ,,Adafruit Industries LLC.,Digikey,,1,, $10.80 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/254/5761230
,,Micro SD Card (512 MB),,Adafruit Industries LLC.,Digikey,,1,, $7.83 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/5252/15841478
,,Microphone (MAX9814),,Adafruit Industries LLC.,Digikey,,1,, $11.45 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1713/4990777
,,"Red LED, 2V",,Everlight Electronics Co. Ltd,Digikey,,1,, $0.63 , $-   ,,,https://www.digikey.ca/en/products/detail/everlight-electronics-co-ltd/EALP05RDHRA2/5142171
,,Green LED 2.1V,,Wurth Elektronik,Digikey,,1,, $0.40 , $-   ,,,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/151051VS04000/4490015
,,Blue LED,,Wurth Elektronik,Digikey,,1,, $0.40 , $-   ,,,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/151051BS04000/4490009
,,"Tactile Switch, right angle",,Omron Electronics,Digikey,,1,, $0.51 , $-   ,,,https://www.digikey.ca/en/products/detail/omron-electronics-inc-emc-div/B3F-3152/31741
,,2k Ohm Resistor,,YAGEO,Digikey,,1,, $0.14 , $-   ,,,https://www.digikey.ca/en/products/detail/yageo/MFR-25FRF52-2K/14920
,,5 Pin Female Header,,Sullins Connector Solutions,Digikey,,1,, $0.82 , $-   ,,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC051LFBN-RC/807239
,,15 Pin Female Header,,Sullins Connector Solutions,Digikey,,1,, $1.43 , $-   ,,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC151LFBN-RC/810153
,,9V Battery,,Duracell Industrial Operations Inc.,Digikey,,72,, $8.37 , $-   ,,,https://www.digikey.ca/en/products/detail/duracell-industrial-operations-inc/9V/21259959
,,0.1 uF Capacitor,,KEMET,Digikey,,1,, $0.46 , $-   ,,,https://www.digikey.ca/en/products/detail/kemet/C315C104M5U5TA/817927
